ticker,senti_label,text
$BYND,bearish,JPMorgan reels in expectations on Beyond Meat
$CCL,bearish,Nomura points to bookings weakness at Carnival and Royal Caribbean
$CCL,bearish,Nomura points to bookings weakness at Carnival and Royal Caribbean
$CX,bearish,"Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook"
$BTIG,bearish,BTIG Research cuts to Neutral
$FNKO,bearish,Funko slides after Piper Jaffray PT cut
$FTI,bearish,TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank
$GM,bearish,GM loses a bull
$DB,bearish,Deutsche Bank cuts to Hold
$COWN,bearish,Cowen cuts to Market Perform
$AAPL,bearish,Trendforce cuts iPhone estimate after Foxconn delay
$AAPL,bearish,Trendforce cuts iPhone estimate after Foxconn delay
$AAPL,bearish,Trendforce cuts iPhone estimate after Foxconn delay
$HOG,bearish,Moody's warns on Harley-Davidson
$HXL,bearish,"Citing aero ties, Wells slashes PT on Hexcel"
$I,bearish,Intelsat cut to Market Perform at Raymond James
$COMP,bearish,Compass Point cuts to Sell
$LK,bearish,Muddy Waters goes short Luckin Coffee
$MANT,bearish,ManTech downgraded ahead of difficult comps
$OPY,bearish,Oppenheimer cuts to Perform
$MPLX,bearish,MPLX cut at Credit Suisse on potential dilution from Marathon strategic review
$MPLX,bearish,MPLX cut at Credit Suisse on potential dilution from Marathon strategic review
$MSGN,bearish,Imperial downgrades MSG Networks amid sports-free airwaves
$MTLS,bearish,Piper hits the Materialise sidelines
$UNKNOWN,bearish,Hovde Group cuts to Market Perform
$NFLX,bearish,New Netflix bear steps out
$SHOP,bearish,Shopify loses a bull
$STAY,bearish,Nomura Instinet loses confidence in Extended Stay America
$TWLO,bearish,Twilio gets Street-low target on virus risk
$UNKNOWN,bearish,Guggenheim's Minerd sees more gloom ahead in stocks
$UNKNOWN,bearish,Guggenheim's Minerd sees more gloom ahead in stocks
$UNKNOWN,bearish,Guggenheim's Minerd sees more gloom ahead in stocks
$UNKNOWN,bearish,MoffettNathanson expects NFL TV costs to skyrocket
$UNKNOWN,bearish,MoffettNathanson expects NFL TV costs to skyrocket
$UNKNOWN,bearish,MoffettNathanson expects NFL TV costs to skyrocket
$UNKNOWN,bearish,Barrington Research cuts to Mkt Perform
$XLNX,bearish,Mizuho cuts XLNX target on near-term headwinds
$TWOU,bearish,2U downgraded to sector weight from overweight at KeyBanc Capital
$GOOG,bearish,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook
$AMCX,bearish,AMC Networks price target cut to $35 from $39 at Imperial Capital
$UNKNOWN,bearish,American Software downgraded to neutral from buy at B. Riley FBR
$UNKNOWN,bearish,Analysts question Silicon Motion's margin outlook
$UNKNOWN,bearish,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer
$UNKNOWN,bearish,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR
$T,bearish,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company
$T,bearish,AT&T shares sink after MoffettNathanson downgrade
$T,bearish,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling"
$ACB,bearish,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus
$ADSK,bearish,Autodesk downgraded to underweight from neutral at JPMorgan
$HRL,bearish,BAML warns of profit pressure for Hormel
$TAP,bearish,Barclays cools on Molson Coors
$BDX,bearish,Becton Dickinson downgraded to outperform from strong buy at Raymond James
$BDX,bearish,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital
$BRY,bearish,Berry Petroleum downgraded to market perform from outperform at BMO Capital
$BRY,bearish,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital
$BLUE,bearish,Bluebird bio downgraded to in line from outperform at Evercore ISI
$BLUE,bearish,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI
$GOOS,bearish,Canada Goose downgraded to buy from strong buy at CFRA
$GOOS,bearish,Canada Goose stock price target cut to $50 from $65 at CFRA
$UNKNOWN,bearish,Children's Place downgraded as e-commerce puts margins at risk
$UNKNOWN,bearish,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt
$UNKNOWN,bearish,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know
$UNKNOWN,bearish,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI
$UNKNOWN,bearish,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR
$UNKNOWN,bearish,"Dell, HPE targets trimmed on compute headwinds"
$UNKNOWN,bearish,Dish may not be key winner amid Intelsat woes - analyst
$UNKNOWN,bearish,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize'
$AEO,bearish,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS
$MLND,bearish,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO…
$UNKNOWN,bearish,Dropbox on watch after stinging Spruce Point report
$UNKNOWN,bearish,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts"
$UNKNOWN,bearish,Evercore downgrades bluebird bio and Clovis in premarket analyst action
$UNKNOWN,bearish,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act"
$UNKNOWN,bearish,Forescout downgraded to neutral from buy at Monness Crespi Hardt
$UNKNOWN,bearish,FormFactor cut on 'unsustainable' revenue outlook
$UNKNOWN,bearish,Funko downgraded to hold from buy at Stifel Nicolaus
$UNKNOWN,bearish,Funko stock price target cut to $10 from $25 at Stifel Nicolaus
$GM,bearish,GM stock price target cut to $30 from $32 at Deutsche Bank
$UNKNOWN,bearish,Grubhub gains a bear on margin view
$UNKNOWN,bearish,H&P downgraded at Argus as drilling industry weakness seen persisting
$UNKNOWN,bearish,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch
$HP,bearish,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank
$HEXO,bearish,Hexo stock price target cut to C$5 from C$6 at MKM Partners
$HD,bearish,Home Depot stock price target cut to $237 from $240 at Instinet
$I,bearish,Intelsat downgraded to underweight from neutral at J.P. Morgan
$I,bearish,Intelsat lower after Morgan Stanley target cut
$LB,bearish,Jefferies warns on L Brands
$KSS,bearish,Kohl's stock price target cut to $48 from $52 at Deutsche Bank
$KSS,bearish,Kohl's stock price target cut to $50 from $53 at Wedbush
$LB,bearish,L Brands stock price target cut to $16 from $20 at Wedbush
$LOVE,bearish,Lovesac stock price target cut to $28 vs. $33 at Canaccord
$LYFT,bearish,Lyft stock price target cut to $58 from $70 at Deutsche Bank
$MAC,bearish,Macerich downgraded to underweight from sector weight at KeyBanc Capital
$MRNS,bearish,Marinus Pharma stock price target cut to $6 from $7 at Leerink
$MEOH,bearish,Methanex downgraded at TD Securities on valuation
$MRU,bearish,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models
$MAA,bearish,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital
$MITK,bearish,Mitek Systems stock price target cut to $11 from $14 at Benchmark
$NSSC,bearish,Napco Security stock price target cut to $30 from $35 at Imperial Capital
$NFLX,bearish,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall
$NFLX,bearish,Netflix downgraded to ‘underperform’ at Needham
$NFLX,bearish,Netflix stock falls after Wells Fargo turns bearish
$NFLX,bearish,New Netflix bear steps out
$UNKNOWN,bearish,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA"
$NCLH,bearish,Norwegian Cruise Line downgraded to strong sell from hold at CFRA
$NVO,bearish,Novo Nordisk downgraded by UBS on concerns over drug launch cost
$YUMC,bearish,Oppenheimer cuts estimates on Yum China
$ORBC,bearish,Orbcomm price target lowered to $9 at Canaccord
$ORLY,bearish,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan
$PTEN,bearish,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank
$PSB,bearish,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital
$RIO,bearish,Rio Tinto downgraded to neutral from overweight at J.P. Morgan
$AAPL,bearish,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production"
$RCL,bearish,Royal Caribbean downgraded to sell from buy at CFRA
$RCL,bearish,Royal Caribbean stock price target cut to $100 from $135 at CFRA
$RCL,bearish,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment
$UNKNOWN,bearish,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now
$SHW,bearish,Sherwin-Williams cut from Conviction Buy at Goldman on valuation
$SIRI,bearish,Sirius downgraded on valuation
$SPOT,bearish,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth
$UNKNOWN,bearish,SunTrust latest to trim Nielsen target
$YUM,bearish,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG
$TTWO,bearish,Take-Two downgraded on murky game slate
$TTWO,bearish,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners
$TH,bearish,Target Hospitality downgraded to perform from outperform at Oppenheimer
$TCO,bearish,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital
$MTW,bearish,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price"
$RIG,bearish,Transocean started at sell with $3 stock price target at Deutsche Bank
$UCTT,bearish,Ultra Clean downgraded to hold from buy at Stifel Nicolaus
$NFLX,bearish,Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i…
$NFLX,bearish,Wells Fargo Downgrades Netflix On Spending Concerns
$NFLX,bearish,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen'"
$WELL,bearish,Welltower stock price target cut to $90 from $95 at J.P. Morgan
$WWE,bearish,WWE stock price target cut to $57 from $79 at Benchmark
$UNKNOWN,bullish,Dougherty & Company starts at Buy
$AMD,bullish,AMD's Navi shows strong adoption - BofA
$UNKNOWN,bullish,BMO Capital Markets ups to Outperform
$UNKNOWN,bullish,Lake Street starts at Buy
$CNC,bullish,*S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*
$UNKNOWN,bullish,Citi gives big boost to Deere PT
$EBAY,bullish,Guggenheim sees favorable catalysts for eBay
$FCX,bullish,Freeport upgraded as Credit Suisse sees big buying opportunity
$UNKNOWN,bullish,BTIG Research starts at Buy
$FNV,bullish,"Franco-Nevada will not need more funding despite suspensions, analyst says"
$UNKNOWN,bullish,Cantor Fitzgerald resumes at Overweight
$GM,bullish,Morgan Stanley sees GM doubling in bull case scenario
$UNKNOWN,bullish,Barclays starts at Overweight
$HAS,bullish,Hasbro gains after UBS upgrade
$UNKNOWN,bullish,"New bull praises acceleration, margin profile"
$UNKNOWN,bullish,Barclays ups to Overweight
$KHC,bullish,JPMorgan constructive on Kraft Heinz
$UNKNOWN,bullish,Compass Point ups to Neutral
$LOW,bullish,Lowe's racks up another positive rating despite recession risk
$LRCX,bullish,Lam target boosted on 'compelling' setup
$UNKNOWN,bullish,Barclays starts at Overweight
$MU,bullish,"Bull sees 2020 upsides for MU, WDC"
$MU,bullish,"Bull sees 2020 upsides for MU, WDC"
$UNKNOWN,bullish,Rated buy
$NFLX,bullish,SunTrust expecting Netflix to post strong user growth
$NVDA,bullish,Nvidia set for gaming tailwinds - BofA
$OCN,bullish,BTIG sees 'material improvement' to Ocwen book value
$UNKNOWN,bullish,Cowen starts at Outperform
$UNKNOWN,bullish,BMO Capital Markets starts at Outperform
$UNKNOWN,bullish,Evercore starts RingCentral at Outperform
$SBAC,bullish,MoffettNathanson boosts SBAC to Buy
$SBAC,bullish,MoffettNathanson boosts SBAC to Buy
$SBAC,bullish,MoffettNathanson boosts SBAC to Buy
$UNKNOWN,bullish,Loop turns bullish on Snap ad growth
$UNKNOWN,bullish,Lake Street starts at Buy
$TENB,bullish,Cowen sees upside in TENB's Indegy purchase
$UNKNOWN,bullish,"Uber, Lyft can raise prices to profit - Barclays"
$UNKNOWN,bullish,"Uber, Lyft can raise prices to profit - Barclays"
$UNKNOWN,bullish,Maxim Group ups to Buy
$UNKNOWN,bullish,Compass Point ups to Buy
$ZS,bullish,New Zscaler bull sees 'sustainable' growth; shares +4%
$ATVI,bullish,"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO…"
$ADBE,bullish,Adobe stock price target raised to $315 vs. $290 at Wedbush
$ADBE,bullish,Adobe stock price target raised to $318 vs. $310 at Instinet
$NFLX,bullish,Aegis Capital positive on Netflix usage trend
$CGC,bullish,"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy"
$UNKNOWN,bullish,Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity
$UNKNOWN,bullish,Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus
$UNKNOWN,bullish,Allergan upgraded to buy from neutral at UBS
$UNKNOWN,bullish,Altria stock price target raised to $54 from $50 at Stifel Nicolaus
$UNKNOWN,bullish,Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey
$LYFT,bullish,"An analyst at Loop Capital upgrades $LYFT to buy from hold, citing higher revenue growth potential."
$T,bullish,Analyst: AT&T Is The Top Telecom Pick For 2020
$BRP,bullish,Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group
$FDN,bullish,Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF
$UNKNOWN,bullish,Ansys stock price target raised to $265 from $235 at Benchmark
$UNKNOWN,bullish,Anthem stock price target raised to $330 from $300 at SunTrust RH
$UNKNOWN,bullish,Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital
$UNKNOWN,bullish,arGen-X stock price target raised to $255 vs. $203 at Instinet
$UNKNOWN,bullish,Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group
$UNKNOWN,bullish,Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey
$UNKNOWN,bullish,"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run"
$UNKNOWN,bullish,Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI
$UNKNOWN,bullish,Audentes Therapeutics upgraded to outperform from in line at Evercore ISI
$UNKNOWN,bullish,Axcelis Technologies stock price target raised to $32 from $24 at Benchmark
$GOOS,bullish,Baird bullish on beat-up Canada Goose
